Date,Open,High,Low,Close,Volume,Symbol
2010-01-04,1.76,1.79,1.76,1.79,603120,HPG
2010-01-05,1.88,1.88,1.79,1.88,1203080,HPG
2010-01-06,1.86,1.93,1.85,1.93,1771660,HPG
2010-01-07,1.96,2.02,1.93,1.99,1535800,HPG
2010-01-08,2.04,2.04,1.9,1.9,909010,HPG
2010-01-11,1.9,1.93,1.86,1.88,732580,HPG
2010-01-12,1.85,1.89,1.8,1.8,885660,HPG
2010-01-13,1.8,1.85,1.73,1.85,958420,HPG
2010-01-14,1.88,1.88,1.82,1.82,402680,HPG
2010-01-15,1.82,1.85,1.79,1.79,437400,HPG
2010-01-18,1.77,1.77,1.73,1.73,497510,HPG
2010-01-19,1.74,1.8,1.74,1.77,479060,HPG
2010-01-20,1.76,1.8,1.76,1.76,474300,HPG
2010-01-21,1.73,1.77,1.71,1.71,425450,HPG
2010-01-22,1.7,1.73,1.68,1.71,586550,HPG
2010-01-25,1.7,1.74,1.7,1.74,199710,HPG
2010-01-26,1.79,1.82,1.79,1.82,536240,HPG
2010-01-27,1.82,1.83,1.76,1.76,271340,HPG
2010-01-28,1.74,1.77,1.73,1.73,245300,HPG
2010-01-29,1.77,1.79,1.73,1.76,393890,HPG
2010-02-01,1.79,1.83,1.79,1.83,484240,HPG
2010-02-02,1.89,1.89,1.83,1.88,1018050,HPG
2010-02-03,1.89,1.89,1.86,1.89,864930,HPG
2010-02-04,1.88,1.92,1.86,1.89,912150,HPG
2010-02-05,1.85,1.88,1.83,1.85,537270,HPG
2010-02-08,1.83,1.86,1.83,1.85,472190,HPG
2010-02-09,1.83,1.85,1.82,1.85,328950,HPG
2010-02-10,1.85,1.88,1.83,1.88,278940,HPG
2010-02-11,1.88,1.89,1.86,1.88,203140,HPG
2010-02-12,1.88,1.89,1.88,1.89,253950,HPG
2010-02-22,1.88,1.89,1.86,1.88,184990,HPG
2010-02-23,1.83,1.85,1.8,1.82,356540,HPG
2010-02-24,1.82,1.82,1.77,1.82,371930,HPG
2010-02-25,1.82,1.85,1.8,1.8,407930,HPG
2010-02-26,1.8,1.82,1.77,1.77,451710,HPG
2010-03-01,1.8,1.82,1.79,1.8,284110,HPG
2010-03-02,1.8,1.88,1.8,1.85,549860,HPG
2010-03-03,1.88,1.88,1.85,1.88,499740,HPG
2010-03-04,1.9,1.92,1.88,1.88,694000,HPG
2010-03-05,1.89,1.9,1.88,1.89,480790,HPG
2010-03-08,1.92,1.93,1.89,1.93,450120,HPG
2010-03-09,1.93,1.95,1.9,1.93,843010,HPG
2010-03-10,1.93,1.96,1.92,1.96,556790,HPG
2010-03-11,2.02,2.05,2.01,2.02,1672180,HPG
2010-03-12,2.04,2.04,2.01,2.02,623150,HPG
2010-03-15,2.01,2.04,2.01,2.01,497550,HPG
2010-03-16,1.99,1.99,1.95,1.95,585500,HPG
2010-03-17,1.9,1.96,1.9,1.9,682260,HPG
2010-03-18,1.95,1.95,1.89,1.95,372020,HPG
2010-03-19,1.93,1.96,1.92,1.93,371440,HPG
2010-03-22,1.92,1.93,1.89,1.9,367360,HPG
2010-03-23,1.89,1.9,1.88,1.89,442100,HPG
2010-03-24,1.93,1.93,1.88,1.9,406220,HPG
2010-03-25,1.89,1.89,1.85,1.86,419770,HPG
2010-03-26,1.86,1.89,1.86,1.88,248330,HPG
2010-03-29,1.88,1.9,1.86,1.88,188700,HPG
2010-03-30,1.88,1.89,1.86,1.86,305370,HPG
2010-03-31,1.86,1.86,1.83,1.83,580860,HPG
2010-04-01,1.86,1.88,1.83,1.88,474730,HPG
2010-04-02,1.89,1.9,1.86,1.9,442760,HPG
2010-04-05,1.93,1.96,1.92,1.96,642470,HPG
2010-04-06,1.99,2.01,1.96,1.96,896310,HPG
2010-04-07,1.98,1.99,1.95,1.98,484850,HPG
2010-04-08,1.98,1.99,1.96,1.98,420120,HPG
2010-04-09,1.98,2.01,1.96,1.98,501430,HPG
2010-04-12,1.99,1.99,1.96,1.98,395000,HPG
2010-04-13,1.96,1.98,1.96,1.96,606100,HPG
2010-04-14,1.96,1.98,1.95,1.96,410790,HPG
2010-04-15,1.98,1.99,1.96,1.99,572700,HPG
2010-04-16,1.99,1.99,1.98,1.98,296860,HPG
2010-04-19,1.98,2.01,1.98,1.98,327330,HPG
2010-04-20,1.99,1.99,1.96,1.98,267520,HPG
2010-04-21,1.99,1.99,1.96,1.98,579670,HPG
2010-04-22,1.98,2.02,1.96,2.01,746300,HPG
2010-04-26,2.02,2.04,2.01,2.02,923660,HPG
2010-04-27,2.12,2.12,2.11,2.12,2002680,HPG
2010-04-28,2.12,2.14,2.12,2.13,1065180,HPG
2010-04-29,2.1,2.13,2.1,2.1,488110,HPG
2010-05-04,2.11,2.11,2.09,2.09,361080,HPG
2010-05-05,2.07,2.07,2.04,2.04,624960,HPG
2010-05-06,2.03,2.05,2.03,2.04,499330,HPG
2010-05-07,2.02,2.02,1.98,2.0,565930,HPG
2010-05-10,1.99,1.99,1.97,1.97,656620,HPG
2010-05-11,1.98,2.0,1.97,1.97,307330,HPG
2010-05-12,1.93,1.94,1.92,1.93,361210,HPG
2010-05-13,1.93,1.95,1.93,1.93,228970,HPG
2010-05-14,1.96,1.96,1.93,1.93,166660,HPG
2010-05-17,1.93,1.93,1.87,1.87,252040,HPG
2010-05-18,1.85,1.87,1.85,1.85,223530,HPG
2010-05-19,1.79,1.82,1.78,1.79,458670,HPG
2010-05-20,1.78,1.87,1.78,1.87,256780,HPG
2010-05-21,1.78,1.85,1.78,1.78,377000,HPG
2010-05-24,1.78,1.82,1.78,1.78,338810,HPG
2010-05-25,1.77,1.78,1.74,1.74,490640,HPG
2010-05-26,1.78,1.79,1.76,1.79,205260,HPG
2010-05-27,1.79,1.8,1.78,1.79,300120,HPG
2010-05-28,1.87,1.87,1.77,1.85,288170,HPG
2010-05-31,1.85,1.85,1.83,1.84,270000,HPG
2010-06-01,1.85,1.85,1.81,1.85,145940,HPG
2010-06-02,1.85,1.85,1.84,1.85,278700,HPG
2010-06-03,1.85,1.89,1.85,1.85,331490,HPG
2010-06-04,1.82,1.85,1.82,1.85,165550,HPG
2010-06-07,1.77,1.84,1.77,1.84,341410,HPG
2010-06-08,1.82,1.83,1.8,1.82,267800,HPG
2010-06-09,1.81,1.84,1.81,1.81,285370,HPG
2010-06-10,1.78,1.82,1.78,1.82,122590,HPG
2010-06-11,1.85,1.85,1.82,1.82,88710,HPG
2010-06-14,1.83,1.83,1.82,1.83,161540,HPG
2010-06-15,1.84,1.84,1.82,1.84,279590,HPG
2010-06-16,1.84,1.84,1.83,1.83,233890,HPG
